Statistic,Value
Mean,8021.851199999999
Median,6503.1
Mode,4810.0
Variance,30384293.75891748
Standard Deviation,5512.195003709274
10th Percentile,1951.2000000000003
Q1,3617.5
Q2 (Median),6503.1
Q3,12162.1
90th Percentile,16289.62
IQR,8544.6
Skewness,0.7595214470614154
Distribution Shape,Right-skewed
